id;start_date;end_date;language
1;2019-09-22T21:35:29;2019-09-22T14:43:46;ENGLISH
2;2019-09-22T23:05:34;2019-09-22T08:11:45;SPANISH
3;2019-09-22T18:37:39;2019-09-22T10:01:39;FRENCH
4;2019-09-22T07:49:30;2019-09-22T15:16:32;FRENCH
5;2019-09-22T16:48:09;2019-09-22T21:32:18;FRENCH
6;2019-09-22T23:05:10;2019-09-23T00:22:06;ENGLISH
7;2019-09-22T08:27:30;2019-09-22T21:08:17;SPANISH
8;2019-09-22T05:58:48;2019-09-22T13:58:57;SPANISH
9;2019-09-22T15:46:55;2019-09-23T00:11:33;FRENCH
10;2019-09-22T19:05:04;2019-09-22T16:21:19;SPANISH
